#host_mono_ns,byte_offset,bytes
173357486560938,37679,42
173357487629116,37721,42
173357489081563,37763,42
173357490383647,37805,42
173357490927241,37847,42
173357491988543,37889,42
173357493057605,37931,42
173357493131199,37973,42
173357494127397,38015,42
173357495195938,38057,42
173357496323230,38099,42
173357497418491,38141,20
173357497489845,38161,42
173357498455991,38203,42
173357499521147,38245,42
173357500638386,38287,42
173357501689011,38329,42
173357502748126,38371,42
173357503818803,38413,42
173357504890522,38455,42
173357505966616,38497,42
173357507033855,38539,42
173357508107761,38581,42
173357509174168,38623,42
173357509244532,38665,42
173357510312605,38707,42
173357511319220,38749,42
173357512386616,38791,42
173357513454845,38833,42
173357514523491,38875,42
173357515596303,38917,42
173357516664897,38959,42
173357517735053,39001,42
173357518806043,39043,42
173357519875105,39085,42
173357520959011,39127,42
173357522025834,39169,42
173357523094845,39211,42
173357524193855,39253,42
173357525239480,39295,42
173357525312188,39337,42
173357526305678,39379,42
173357527374220,39421,42
173357528460730,39463,42
173357529622293,39505,42
173357530697032,39547,20
173357530787553,39567,42
173357531767918,39609,42
173357532834063,39651,42
173357533907657,39693,42
173357534974063,39735,42
173357536044220,39777,42
173357537112970,39819,42
173357538185157,39861,42
173357539257345,39903,42
173357540520470,39945,42
173357541402709,39987,42
173357541479063,40029,42
173357542469532,40071,42
173357543534011,40113,42
173357544604324,40155,42
173357545676980,40197,42
173357546746459,40239,42
173357547813855,40281,42
173357548887293,40323,42
173357549952709,40365,42
173357551035574,40407,42
173357552101095,40449,42
