#host_mono_ns,slot,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w
6898219621013,8,-0.175054923,0.147587582,-0.328494281,-0.106349699,0.954338908,-0.229730487,-0.158590183
6898252941273,9,-0.168471798,0.15367572,-0.329116583,-0.0925658941,0.94990015,-0.235232055,-0.183812752
6898286266482,10,-0.162931412,0.158059359,-0.328993231,-0.0756214634,0.947300196,-0.235142961,-0.203989014
6898319597263,11,-0.15912731,0.160108343,-0.329100192,-0.0648378134,0.943062842,-0.232403904,-0.228947461
6898352936013,12,-0.157465234,0.160150364,-0.329875529,-0.0628272295,0.936458409,-0.23081018,-0.256563842
6898386300179,13,-0.15787448,0.158463731,-0.331315488,-0.0630209595,0.930288017,-0.233773097,-0.275577068
6898419595440,14,-0.15991284,0.155268669,-0.332852572,-0.0685092136,0.925513208,-0.237098888,-0.287255913
6898452939190,15,-0.164443582,0.152421117,-0.334615439,-0.0852643773,0.925360143,-0.248042583,-0.273703277
6898486272992,16,-0.170097888,0.150118813,-0.336938292,-0.107588038,0.924899697,-0.261458069,-0.254214585
6898519619242,17,-0.175248817,0.148651034,-0.340609938,-0.121874318,0.921188772,-0.279908121,-0.241266072
6898569745596,18,-0.18004179,0.14787218,-0.344792545,-0.130913943,0.91790539,-0.30176568,-0.221920535
6898602938461,19,-0.184070274,0.14725484,-0.349014372,-0.128693283,0.918301165,-0.320681304,-0.193195447
6898636265908,20,-0.187285617,0.146200791,-0.351476669,-0.124177106,0.921256006,-0.327320069,-0.169496179
6899036327419,0,-0.207061306,0.136378646,-0.340890735,-0.193760276,0.921150208,-0.291579306,-0.170061156
6899069607210,1,-0.205929622,0.137235686,-0.338591516,-0.187245518,0.92219758,-0.288638711,-0.176574022
6899102949242,2,-0.204391778,0.138725057,-0.337030351,-0.174182579,0.921097219,-0.296246558,-0.182970911
6899136270075,3,-0.202180222,0.140732959,-0.335872442,-0.154987887,0.918050051,-0.312531322,-0.188379869
6899169605856,4,-0.198679224,0.142490029,-0.332396388,-0.143925384,0.912100017,-0.319536626,-0.212733224
6899202947679,5,-0.195650473,0.142903149,-0.327235341,-0.140079007,0.909204543,-0.316776097,-0.231036648
