USER           PID  PPID     VSZ    RSS WCHAN            ADDR S NAME                       
root           533     2       0      0 worker_thread       0 S [kworker/u17:1]
logd           543     1  138892   4144 sigsuspend 7badd06388 S logd
system         544     1   35156   2572 binder_ioctl 7f00b46268 S servicemanager
system         545     1   38336   4388 SyS_epoll_wait 747d3c6128 S hwservicemanager
system         546     1   35716   2592 binder_ioctl 7c49a46268 S vndservicemanager
system         547     1  198740   4204 sigsuspend 7de2f85388 S qseecomd
root           548     2       0      0 worker_thread       0 S [kworker/7:1H]
nobody         549     1 2136020   4468 binder_ioctl 7ee4c04268 S android.hardware.keymaster@3.0-service
root           551     1  111204   5344 binder_ioctl 7ddc1c5268 S vold
root           559     2       0      0 kauditd_thread      0 S [kauditd]
root           572     2       0      0 kjournald2          0 S [jbd2/sda8-8]
